lakeid,sampledate,depth,chlor,phaeo
CR,7/30/86,10,1.6,0.3
CR,7/30/86,12,3,0.9
CR,7/30/86,15,9.7,2.9
CR,7/30/86,15,8.9,2.8
CR,7/30/86,19,1.7,1.3
CR,8/14/86,0,1.3,-0.2
CR,8/14/86,3,1,0
CR,8/14/86,5,0.9,0.4
CR,8/14/86,8,1,0.1
CR,8/14/86,10,1.9,0.3
CR,8/14/86,12,2.1,0.8
CR,8/14/86,15,3.8,1.6
CR,8/14/86,15,3.9,1.7
CR,8/14/86,19,6.6,2.2
CR,8/27/86,0,1.6,0.3
CR,8/27/86,3,1.3,0.5
CR,8/27/86,5,0.4,2
